instance,family,activation,dim,modules,threshold_label,task_kind,threshold_reference,t,g_min,threshold_margin,is_true_threshold,n_violating_live_leaves,U_ge_transfer,dict_size_thr_transfer,dict_size_thr_parent,dict_size_thr_drop,dict_size_thr_mix,dict_size_threshold_union,OPT_ge_exposed_milp,OPT_ge_exposed_greedy,OPT_ge_exposed_lp_rounding,LB_ge_omega_common,LB_ge_chi_exact_common,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,LB_ge_omega,LB_ge_chi_exact,T_min_ge_milp,timeout_ge_milp,false_control_behavior,OPT_ge_over_OPT_eq,gap_transfer_over_opt,gap_opt_over_lb_exposed,true_VAC_ge_L_grd
FamilyA_d2_M10_relu_seed2,FamilyA,relu,2,10,tight_true,canonical_true,g_min,-0.885,-0.885,0.0,True,0,35.0,35,0,327,0,327,19.0,19.0,19.0,1,,16,,16,,0.004443854093551636,False,finite_cover,0.5588235294117647,1.8421052631578947,1.1875,
FamilyA_d2_M10_relu_seed2,FamilyA,relu,2,10,false_control,false_control,g_min_plus_delta,-0.865,-0.885,-0.020000000000000018,False,2,inf,33,0,306,0,306,inf,inf,inf,5,,16,,16,,0.0010193539783358574,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_leakyrelu_seed0,FamilyA,leakyrelu,2,10,tight_true,canonical_true,g_min,-1.33475,-1.33475,0.0,True,0,43.0,43,0,384,0,384,23.0,23.0,23.0,1,,16,,16,,0.0045346710830926895,False,finite_cover,0.5348837209302325,1.8695652173913044,1.4375,
FamilyA_d2_M10_leakyrelu_seed0,FamilyA,leakyrelu,2,10,false_control,false_control,g_min_plus_delta,-1.31475,-1.33475,-0.020000000000000018,False,2,inf,41,0,378,0,378,inf,inf,inf,5,,16,,16,,0.001148143783211708,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_leakyrelu_seed1,FamilyA,leakyrelu,2,10,tight_true,canonical_true,g_min,-1.10275,-1.10275,0.0,True,0,44.0,44,0,384,0,384,23.0,23.0,23.0,1,,16,,16,,0.004566863179206848,False,finite_cover,0.5227272727272727,1.9130434782608696,1.4375,
FamilyA_d2_M10_leakyrelu_seed1,FamilyA,leakyrelu,2,10,false_control,false_control,g_min_plus_delta,-1.0827499999999999,-1.10275,-0.020000000000000018,False,4,inf,40,0,368,0,368,inf,inf,inf,7,,16,,16,,0.0011771060526371002,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_leakyrelu_seed2,FamilyA,leakyrelu,2,10,tight_true,canonical_true,g_min,-1.962,-1.962,0.0,True,0,35.0,35,0,327,0,327,19.0,19.0,19.0,1,,16,,16,,0.004412172362208366,False,finite_cover,0.5588235294117647,1.8421052631578947,1.1875,
FamilyA_d2_M10_leakyrelu_seed2,FamilyA,leakyrelu,2,10,false_control,false_control,g_min_plus_delta,-1.942,-1.962,-0.020000000000000018,False,1,inf,34,0,316,0,316,inf,inf,inf,4,,16,,16,,0.0010399864986538887,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_abs_seed0,FamilyA,abs,2,10,tight_true,canonical_true,g_min,2.6229999999999998,2.6229999999999998,0.0,True,0,43.0,43,0,384,0,384,23.0,23.0,23.0,1,,16,,16,,0.0044873664155602455,False,finite_cover,0.5348837209302325,1.8695652173913044,1.4375,
FamilyA_d2_M10_abs_seed0,FamilyA,abs,2,10,false_control,false_control,g_min_plus_delta,2.643,2.6229999999999998,-0.020000000000000018,False,4,inf,39,0,359,0,359,inf,inf,inf,8,,16,,16,,0.0011279135942459106,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_abs_seed1,FamilyA,abs,2,10,tight_true,canonical_true,g_min,1.09125,1.09125,0.0,True,0,44.0,44,0,384,0,384,23.0,23.0,23.0,1,,16,,16,,0.004539359360933304,False,finite_cover,0.5227272727272727,1.9130434782608696,1.4375,
FamilyA_d2_M10_abs_seed1,FamilyA,abs,2,10,false_control,false_control,g_min_plus_delta,1.11125,1.09125,-0.020000000000000018,False,4,inf,40,0,368,0,368,inf,inf,inf,9,,16,,16,,0.0012049879878759384,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_abs_seed2,FamilyA,abs,2,10,tight_true,canonical_true,g_min,2.4883333333333333,2.4883333333333333,0.0,True,0,35.0,35,0,327,0,327,19.0,19.0,19.0,1,,16,,16,,0.0044462839141488075,False,finite_cover,0.5588235294117647,1.8421052631578947,1.1875,
FamilyA_d2_M10_abs_seed2,FamilyA,abs,2,10,false_control,false_control,g_min_plus_delta,2.5083333333333333,2.4883333333333333,-0.020000000000000018,False,6,inf,29,0,268,0,268,inf,inf,inf,10,,16,,16,,0.0009932918474078178,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_maxout_seed0,FamilyA,maxout,2,10,tight_true,canonical_true,g_min,0.96875,0.96875,0.0,True,0,31.0,31,0,289,0,289,16.0,16.0,16.0,1,,14,,14,,0.004347115755081177,False,finite_cover,0.5161290322580645,1.9375,1.1428571428571428,
FamilyA_d2_M10_maxout_seed0,FamilyA,maxout,2,10,false_control,false_control,g_min_plus_delta,0.98875,0.96875,-0.020000000000000018,False,4,inf,27,0,249,0,249,inf,inf,inf,8,,16,,16,,0.0009604096412658691,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_maxout_seed1,FamilyA,maxout,2,10,tight_true,canonical_true,g_min,1.6745833333333333,1.6745833333333333,0.0,True,0,38.0,38,0,354,0,354,20.0,20.0,20.0,1,,16,,16,,0.004440922290086746,False,finite_cover,0.5263157894736842,1.9,1.25,
FamilyA_d2_M10_maxout_seed1,FamilyA,maxout,2,10,false_control,false_control,g_min_plus_delta,1.6945833333333333,1.6745833333333333,-0.020000000000000018,False,9,inf,29,0,267,0,267,inf,inf,inf,11,,16,,16,,0.0010269535705447197,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_maxout_seed2,FamilyA,maxout,2,10,tight_true,canonical_true,g_min,1.5925,1.5925,0.0,True,0,39.0,39,0,363,0,363,20.0,20.0,20.0,1,,16,,16,,0.004448633641004562,False,finite_cover,0.5128205128205128,1.95,1.25,
FamilyA_d2_M10_maxout_seed2,FamilyA,maxout,2,10,false_control,false_control,g_min_plus_delta,1.6125,1.5925,-0.020000000000000018,False,4,inf,35,0,323,0,323,inf,inf,inf,8,,16,,16,,0.0010854089632630348,False,no_finite_cover_or_timeout,,,,
